sub-004	[EO] median amplitude=213.4 uV, exceeds 200.0; [EO] gross artifact=67.8%, exceeds 50.0%
sub-009	[EC] median amplitude=202.0 uV, exceeds 200.0; [EC] gross artifact=60.6%, exceeds 50.0%
sub-014	[EC] median amplitude=269.3 uV, exceeds 200.0; [EC] gross artifact=83.1%, exceeds 50.0%
sub-015	[EO] median amplitude=285.0 uV, exceeds 200.0; [EO] gross artifact=72.0%, exceeds 50.0%; [EC] gross artifact=56.5%, exceeds 50.0%
sub-021	[EC] gross artifact=50.8%, exceeds 50.0%
sub-026	[EO] median amplitude=888.9 uV, exceeds 200.0; [EO] gross artifact=100.0%, exceeds 50.0%; [EC] median amplitude=460.9 uV, exceeds 200.0; [EC] gross artifact=100.0%, exceeds 50.0%
sub-035	[EO] gross artifact=59.5%, exceeds 50.0%; [EC] median amplitude=235.8 uV, exceeds 200.0; [EC] gross artifact=56.3%, exceeds 50.0%
sub-043	[EO] gross artifact=50.3%, exceeds 50.0%; [EC] median amplitude=217.6 uV, exceeds 200.0; [EC] gross artifact=64.3%, exceeds 50.0%
sub-052	[EO] median amplitude=387.7 uV, exceeds 200.0; [EO] gross artifact=100.0%, exceeds 50.0%; [EC] gross artifact=55.7%, exceeds 50.0%
sub-055	[EO] median amplitude=210.7 uV, exceeds 200.0; [EO] gross artifact=70.9%, exceeds 50.0%; [EC] median amplitude=346.8 uV, exceeds 200.0; [EC] gross artifact=78.1%, exceeds 50.0%
sub-059	[EO] median amplitude=331.3 uV, exceeds 200.0; [EO] gross artifact=89.2%, exceeds 50.0%; [EC] median amplitude=345.7 uV, exceeds 200.0; [EC] gross artifact=82.1%, exceeds 50.0%
sub-066	[EO] gross artifact=56.3%, exceeds 50.0%; [EC] median amplitude=359.0 uV, exceeds 200.0; [EC] gross artifact=81.8%, exceeds 50.0%
sub-071	[EO] gross artifact=53.6%, exceeds 50.0%; [EC] gross artifact=52.5%, exceeds 50.0%
sub-077	[EC] median amplitude=349.9 uV, exceeds 200.0; [EC] gross artifact=80.0%, exceeds 50.0%
sub-079	[EO] gross artifact=56.3%, exceeds 50.0%; [EC] median amplitude=534.0 uV, exceeds 200.0; [EC] gross artifact=84.7%, exceeds 50.0%
sub-080	[EC] gross artifact=57.7%, exceeds 50.0%
sub-092	[EC] gross artifact=54.4%, exceeds 50.0%
sub-100	[EC] median amplitude=346.4 uV, exceeds 200.0; [EC] gross artifact=80.3%, exceeds 50.0%
sub-105	[EO] gross artifact=69.2%, exceeds 50.0%; [EC] gross artifact=58.8%, exceeds 50.0%
sub-111	[EC] gross artifact=51.6%, exceeds 50.0%
sub-113	[EC] median amplitude=646.1 uV, exceeds 200.0; [EC] gross artifact=100.0%, exceeds 50.0%
sub-118	[EO] median amplitude=315.5 uV, exceeds 200.0; [EO] gross artifact=74.6%, exceeds 50.0%; [EC] gross artifact=60.5%, exceeds 50.0%
sub-120	[EO] median amplitude=201.0 uV, exceeds 200.0; [EO] gross artifact=62.3%, exceeds 50.0%; [EC] gross artifact=51.9%, exceeds 50.0%
sub-121	[EO] median amplitude=303.8 uV, exceeds 200.0; [EO] gross artifact=78.0%, exceeds 50.0%; [EC] median amplitude=500.8 uV, exceeds 200.0; [EC] gross artifact=100.0%, exceeds 50.0%
sub-135	[EC] median amplitude=333.3 uV, exceeds 200.0; [EC] gross artifact=81.4%, exceeds 50.0%
sub-137	[EO] median amplitude=267.2 uV, exceeds 200.0; [EO] gross artifact=78.5%, exceeds 50.0%; [EC] median amplitude=355.4 uV, exceeds 200.0; [EC] gross artifact=87.1%, exceeds 50.0%
sub-140	[EO] gross artifact=53.8%, exceeds 50.0%; [EC] median amplitude=253.8 uV, exceeds 200.0; [EC] gross artifact=74.9%, exceeds 50.0%
sub-144	[EO] median amplitude=222.2 uV, exceeds 200.0; [EO] gross artifact=64.7%, exceeds 50.0%; [EC] median amplitude=361.2 uV, exceeds 200.0; [EC] gross artifact=76.0%, exceeds 50.0%
sub-167	[EO] gross artifact=59.3%, exceeds 50.0%
sub-183	[EC] gross artifact=59.0%, exceeds 50.0%
sub-194	[EC] median amplitude=235.7 uV, exceeds 200.0; [EC] gross artifact=63.6%, exceeds 50.0%
sub-196	[EO] median amplitude=388.3 uV, exceeds 200.0; [EO] gross artifact=93.5%, exceeds 50.0%
sub-203	[EO] median amplitude=214.1 uV, exceeds 200.0; [EO] gross artifact=62.1%, exceeds 50.0%; [EC] median amplitude=278.6 uV, exceeds 200.0; [EC] gross artifact=75.4%, exceeds 50.0%
sub-207	[EC] gross artifact=60.1%, exceeds 50.0%
sub-208	[EC] gross artifact=55.6%, exceeds 50.0%
sub-210	[EO] median amplitude=369.7 uV, exceeds 200.0; [EO] gross artifact=95.6%, exceeds 50.0%; [EC] median amplitude=304.2 uV, exceeds 200.0; [EC] gross artifact=78.7%, exceeds 50.0%
sub-222	[EO] median amplitude=421.2 uV, exceeds 200.0; [EO] gross artifact=91.4%, exceeds 50.0%; [EC] median amplitude=247.2 uV, exceeds 200.0; [EC] gross artifact=65.6%, exceeds 50.0%
sub-230	[EO] median amplitude=623.9 uV, exceeds 200.0; [EO] gross artifact=89.1%, exceeds 50.0%; [EC] duration=1.0 min, below 2 min minimum
sub-235	[EO] gross artifact=60.1%, exceeds 50.0%; [EC] median amplitude=225.5 uV, exceeds 200.0; [EC] gross artifact=63.2%, exceeds 50.0%
sub-238	[EO] median amplitude=269.0 uV, exceeds 200.0; [EO] gross artifact=71.2%, exceeds 50.0%; [EC] median amplitude=207.6 uV, exceeds 200.0; [EC] gross artifact=69.0%, exceeds 50.0%
sub-247	[EC] gross artifact=56.3%, exceeds 50.0%
sub-253	[EO] median amplitude=951.1 uV, exceeds 200.0; [EO] gross artifact=100.0%, exceeds 50.0%; [EC] median amplitude=307.7 uV, exceeds 200.0; [EC] gross artifact=73.8%, exceeds 50.0%
sub-257	[EO] median amplitude=247.5 uV, exceeds 200.0; [EO] gross artifact=80.6%, exceeds 50.0%; [EC] gross artifact=51.4%, exceeds 50.0%
sub-274	[EC] gross artifact=56.8%, exceeds 50.0%
sub-285	[EC] gross artifact=53.0%, exceeds 50.0%
sub-289	[EO] median amplitude=242.1 uV, exceeds 200.0; [EO] gross artifact=68.1%, exceeds 50.0%; [EC] median amplitude=220.9 uV, exceeds 200.0; [EC] gross artifact=70.2%, exceeds 50.0%
sub-292	[EC] median amplitude=201.5 uV, exceeds 200.0; [EC] gross artifact=61.7%, exceeds 50.0%
sub-305	[EC] median amplitude=478.8 uV, exceeds 200.0; [EC] gross artifact=88.0%, exceeds 50.0%
sub-312	[EC] median amplitude=202.2 uV, exceeds 200.0; [EC] gross artifact=59.2%, exceeds 50.0%
sub-316	[EC] gross artifact=51.6%, exceeds 50.0%
